Time	Channel A	Channel B
(s)	(V)	(V)

-0.02933396	4.92741200	0.43676180
-0.02920063	4.83944400	0.43676180
-0.02906729	4.92741200	0.43676180
-0.02893395	4.92741200	0.43676180
-0.02880062	4.92741200	0.43676180
-0.02866728	4.92741200	0.43676180
-0.02853395	4.83944400	0.43676180
-0.02840061	4.83944400	0.43676180
-0.02826727	4.92741200	0.43676180
-0.02813394	4.92741200	0.43676180
-0.02800060	4.92741200	0.52411420
-0.02786727	4.83944400	0.52411420
-0.02773393	4.92741200	0.52411420
-0.02760059	4.92741200	0.52411420
-0.02746726	4.92741200	0.52411420
-0.02733392	4.83944400	0.43676180
-0.02720059	4.83944400	0.43676180
-0.02706725	4.92741200	0.43676180
-0.02693391	4.92741200	0.43676180
-0.02680058	4.92741200	0.34940950
-0.02666724	4.92741200	0.43676180
-0.02653391	4.92741200	0.34940950
-0.02640057	4.92741200	0.34940950
-0.02626723	4.92741200	0.34940950
-0.02613390	4.83944400	0.34940950
-0.02600056	4.92741200	0.34940950
-0.02586723	4.92741200	0.34940950
-0.02573389	4.83944400	0.26205710
-0.02560055	4.92741200	0.26205710
-0.02546722	4.83944400	0.26205710
-0.02533388	4.92741200	0.34940950
-0.02520055	4.92741200	0.34940950
-0.02506721	4.92741200	0.34940950
-0.02493387	4.92741200	0.34940950
-0.02480054	4.92741200	0.34940950
-0.02466720	4.92741200	0.34940950
-0.02453387	4.83944400	0.43676180
-0.02440053	4.92741200	0.43676180
-0.02426719	4.92741200	0.43676180
-0.02413386	4.92741200	0.43676180
-0.02400052	4.92741200	0.43676180
-0.02386719	4.92741200	0.43676180
-0.02373385	4.92741200	0.43676180
-0.02360051	4.92741200	0.43676180
-0.02346718	4.92741200	0.43676180
-0.02333384	4.92741200	0.43676180
-0.02320051	4.92741200	0.43676180
-0.02306717	4.92741200	0.34940950
-0.02293383	4.92741200	0.34940950
-0.02280050	4.92741200	0.34940950
-0.02266716	4.92741200	0.34940950
-0.02253383	4.92741200	0.34940950
-0.02240049	4.92741200	0.34940950
-0.02226715	4.92741200	0.34940950
-0.02213382	4.92741200	0.34940950
-0.02200048	4.92741200	0.34940950
-0.02186715	4.83944400	0.34940950
-0.02173381	4.92741200	0.34940950
-0.02160047	4.92741200	0.34940950
-0.02146714	4.92741200	0.43676180
-0.02133380	4.92741200	0.34940950
-0.02120047	4.92741200	0.34940950
-0.02106713	4.92741200	0.34940950
-0.02093379	4.92741200	0.34940950
-0.02080046	4.92741200	0.34940950
-0.02066712	4.92741200	0.34940950
-0.02053379	4.92741200	0.34940950
